codici_comune,spec_01,spec_03,spec_82,spec_05,spec_51,spec_07,spec_06,spec_08,spec_09,spec_10,spec_11,spec_12,spec_13,spec_14,spec_81,spec_02,spec_99,spec_52,spec_97,spec_17,spec_85,spec_79,spec_80,spec_18,spec_54,spec_55,spec_57,spec_58,spec_21,spec_47,spec_46,spec_20,spec_98,spec_60,spec_19,spec_24,spec_25,spec_26,spec_27,spec_61,spec_15,spec_41,spec_29,spec_48,spec_77,spec_62,spec_30,spec_76,spec_32,spec_33,spec_75,spec_31,spec_34,spec_35,spec_66,spec_65,spec_64,spec_36,spec_37,spec_38,spec_39,spec_67,spec_68,spec_40,spec_91,spec_69,spec_70,spec_74,spec_56,spec_22,spec_71,spec_49,spec_73,spec_42,spec_50,spec_28,spec_43,spec_78,spec_04
1265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01002304-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01002304-,,,,,,,,,,
5080,,,,,,,,,res_01000802-,,,,,,,,res_01000802-,,,,,,,,,,,,,,,,,,,,,res_01000802-,,,,,res_01000802-,,,,,,res_01000802-,,,,,,,,,res_01000802-,res_01000802-,,,,,,,,,,res_01000802-,,,res_01000802-,,,res_01000802-,,,,
1194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01061500-res_01062100-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01061500-res_01062100-,,,,,,,,,,
6177,,,,,,,,res_01002602-,,,,,,,,,res_01002602-,,,,,,,,,,,,,,,,,res_01002602-,,,,res_01002602-,,,,,,,,,,,res_01002602-,,,,,,,,,res_01002602-,,,,,,,,,,,res_01002602-,,,res_01002602-,,,res_01002602-,,,,
1059,,,,,,,,res_01000403-,res_01000403-,,,,,,,res_01000403-,res_01066100-res_01000403-,,,,,,,,,,,,,,,,,res_01000403-,,,,res_01000403-,,,,,res_01000403-,,,,,,,,,res_01000403-,,,,,,,res_01000403-,,res_01000403-,,,res_01000403-,,,,,res_01000403-,,,res_01000403-,,,res_01000403-,,res_01000403-,,
4215,,,,,,,,res_01012601-,res_01012601-,,,,,,,res_01012601-,,,,,,,,,,,,res_01012601-,res_01012601-,,,,,,res_01012601-,,,res_01012601-,,,,,,,,res_01012601-,,,res_01012601-,,,res_01012601-,res_01012601-,,,,,res_01012601-,res_01012601-,res_01012601-,res_01012601-,res_01012601-,,res_01012601-,,,,,,,,res_01012601-,,,res_01012601-,,res_01012601-,,
3068,,,,,,,,,res_01090502-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01090502-,,,,,,,,,,,,,,,res_01090502-,,,,,,,,,,,,,,,,res_01090502-,,,,,,,,,,
6001,,,,,,,,res_01002605-,res_01002605-res_01064100-,,,,,,,res_01002605-,res_01002605-,,,,,,,,,,,,,,,,,,,,,res_01002605-res_01064100-,,,,,,,,,,,,,,,,,,,,res_01002605-res_01064100-,res_01002605-,res_01002605-,res_01002605-,res_01002605-,,res_01002605-,,,,,res_01064100-,,,res_01002605-,,,res_01002605-,,res_01002605-,,
1125,,,,,,,,res_01002301-,res_01002301-,,,,,res_01061600-,,,,,,,,,,res_01002301-,,,,,res_01002301-,,,,,,res_01002301-,,,res_01002301-res_01061600-,,,,,res_01002301-,,,,res_01061600-,,res_01002301-,res_01002301-,,res_01002301-,res_01002301-,,,,res_01002301-,res_01002301-res_01061600-,res_01002301-,res_01002301-,res_01002301-,,,res_01002301-,,,,,res_01061600-,,,res_01002301-,,,res_01002301-,,res_01002301-,,
4078,,,,,,res_01090600-,,res_01090600-,res_01090600-,,,res_01090600-,res_01090600-,res_01090600-,,res_01090600-,,res_01090600-,res_01090600-,,,,,res_01090600-,,,,res_01090600-,res_01090600-,,,,,res_01090600-,res_01090600-,res_01090600-,,res_01090600-,,,,,res_01090600-,,,,res_01090600-,,res_01090600-,,,res_01090600-,res_01090600-,res_01090600-,,,res_01090600-,res_01090600-,res_01090600-,res_01090600-,res_01090600-,res_01090600-,res_01090600-,res_01090600-,,,res_01090600-,,,,res_01090600-,res_01090600-,res_01090600-,,res_01090600-,,res_01090600-,,
4066,,,,,,,,res_01012402-,res_01012402-,,,,,,,res_01012402-,,,,,,,,,,,,,,,,,,,,,,res_01012402-,,,,,res_01012402-,,,,,,,,,,res_01012402-,,,,,res_01012402-,res_01012402-,,,,,,,,,,res_01012402-,,,res_01012402-,,,res_01012402-,,,,
1275,,,,,,,,res_01003002-,res_01003002-,,,,,,,res_01003002-,,,,,,,,,,,,,res_01003002-,,,,,res_01003002-,,,,res_01003002-,,,,,res_01003002-,,,,,,,,,,,,,,,,,,,,,res_01003002-,,,,,res_01003002-,,,res_01003002-,,,,,,,
1270,,,,,,,,res_01007904-,res_01007904-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01007904-,,,,,,,,,,,,,,res_01007904-,,,,,,res_01007904-,res_01007904-,,,,,,,,,,,,,res_01007904-,,,res_01007904-,,,,
1248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01061700-res_01089100-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01061700-,,,,,res_01089100-res_01061700-,,,,,,,,,,
103050,,,,,,,,,res_01000503-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01000503-,,,,,,,,,,,,,,,res_01000503-,res_01000503-,,,,res_01000503-,,,,,,,,,,,res_01000503-,,,,,,,,,,
1086,,,,,,,,res_01001901-,res_01001901-,,,,,,,res_01001901-,res_01001901-,,,,,,,,,,,,,,,,,,,,,res_01001901-,,,,,res_01001901-,,,res_01001901-,,,res_01001901-,,,,res_01001901-,,,,,res_01001901-,res_01001901-,res_01001901-,res_01001901-,,,res_01001901-,,,,,,,,res_01001901-,,,res_01001901-,,res_01001901-,,
6174,,,,,,,,res_01002603-,res_01002603-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01002603-,,,,,res_01002603-,,,,,,res_01002603-,,,,res_01002603-,,,,res_01002603-,res_01002603-,res_01002603-,res_01002603-,res_01002603-,,,,,,,,,,,res_01002603-,,,res_01002603-,,res_01002603-,,
3065,,,,,,,,,res_01064900-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01064900-,,,,,,,,,,,,,,,res_01064900-,,,,,res_01064900-,,,,,,,,,,,res_01064900-,,,,,,,,,,
1237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01064400-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01064400-,,,,,,,,,,
6114,,,,,,,,res_01002604-,res_01002604-,,,,,,,res_01002604-,res_01002604-,,,,,,,,,,,,,,,,,res_01002604-,,,,res_01002604-,,,,,res_01002604-,,,,,,res_01002604-,,,,res_01002604-,,,,,res_01002604-,res_01002604-,res_01002604-,res_01002604-,res_01002604-,res_01002604-,res_01002604-,,,,,,,,res_01002604-,,,res_01002604-,,res_01002604-,,
1183,,,,,,,,res_01061800-,res_01061800-,,,,,,,,,,,,,,,,,,,,,,,,,res_01061800-,,,,res_01061800-,,,,,,,,,,,,,,,,,,,,,res_01061800-,,,,,,,,,,,,,,,,,,res_01061800-,,
96080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01062700-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01062700-,,,,,,,,,,
1098,,,,,,,,,res_01002302-,,,,,,,res_01002302-,res_01002302-,,,,,,,,,,,,res_01002302-,,,,,,,,,res_01002302-,,,,,res_01002302-,,,,,,res_01002302-,,,res_01002302-,,,,,,res_01002302-,res_01002302-,,,,,res_01002302-,,,,,,,,res_01002302-,,,res_01002302-,,,,
1045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01065100-,,,,,,,,,,
6039,,,,,,,,res_01002601-,res_01002601-res_01064200-,,,,,,,,,res_01002601-,,,,,,,,,,res_01002601-,,,,,,res_01002601-res_01064200-,res_01002601-,res_01002601-,,res_01002601-res_01064200-,,,,,res_01002601-,,,,,,res_01002601-,,,res_01002601-,res_01002601-res_01064200-,res_01002601-,,,res_01002601-,res_01002601-res_01064200-,res_01002601-res_01064200-,res_01002601-,res_01002601-,,res_01002601-,res_01002601-,,,,,res_01002601-,,,res_01002601-,,,res_01002601-,,res_01002601-,,
1280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01062000-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01062000-,,,,,res_01062000-,,,,,,,,,,
4003,,,,,,,,res_01012001-,res_01012001-,,,,,,,,,,,,,,,res_01012001-,,,,,,,,,,res_01012001-,,,,res_01012001-,,,,,res_01012001-,,,res_01012001-,,,res_01012001-,,,,res_01012001-,,,,res_01012001-,res_01012001-,res_01012001-,res_01012001-,res_01012001-,res_01012001-,,res_01012001-,,,,,res_01012001-,,,res_01012001-,,,res_01012001-,,res_01012001-,,
1066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01002303-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01002303-,,,,,,,,,,
6121,,,,,,,,res_01002606-,res_01002606-,,,,,,,res_01002606-,res_01002606-,,,,,,,,,,,,,,,,,res_01002606-,,,,res_01002606-,,,,,,,,,,,res_01002606-,,,,,,,,,res_01002606-,,,,,res_01002606-,res_01002606-,,,,,res_01002606-,,,res_01002606-,,,res_01002606-,,,,
1219,,,,,,,,res_01007901-,res_01007901-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01007901-,,,,,,,,res_01007901-,,,res_01007901-,,,,,,,,,res_01007901-,res_01007901-,res_01007901-,res_01007901-,,,res_01007901-,,,,,,,,res_01007901-,,,res_01007901-,,res_01007901-,,
5005,,,,,,,,res_01000801-,res_01000801-,res_01000801-,,,,res_01000801-,,res_01065400-res_01000801-,res_01000801-,res_01000801-,res_01000801-,,,,,,,,,,res_01000801-,,,,,res_01000801-,,res_01000801-,,res_01000801-,,,,,res_01000801-,,,res_01000801-,,,res_01000801-,,,,res_01000801-,,,,res_01000801-,res_01000801-,res_01000801-,res_01000801-,res_01000801-,res_01000801-,,res_01000801-,,,,,res_01000801-res_01063900-,,,res_01000801-,,,res_01000801-,,res_01000801-,,
4130,,,,,,,,res_01012401-,res_01012401-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01012401-,,,,,res_01012401-,,,res_01012401-,,,,,,res_01012401-,res_01012401-,,,,res_01012401-,res_01012401-,res_01012401-,,res_01012401-,res_01012401-,,res_01012401-,,,,,,,,res_01012401-,,,res_01012401-,,res_01012401-,,
4203,,,,,,,,res_01012602-,res_01012602-,,,,,,,,,,,,,,,,,,,,res_01012602-,,,,,res_01012602-,,,,res_01012602-,,,,,,,,,,,res_01012602-,,,,,,,,res_01012602-,res_01012602-,res_01012602-,,,,,res_01012602-,,,,,,,,res_01012602-,,,res_01012602-,,,,
3106,,,,,,res_01062800-res_01090501-,,res_01062800-res_01090501-,res_01062800-res_01090501-,res_01090501-,res_01090501-,res_01090501-,res_01090501-,res_01090501-,,res_01090501-,,res_01090501-,,,,,,res_01090501-,,,,res_01090501-,,,,,,,res_01090501-,res_01090501-,,res_01062800-res_01090501-,,,,,res_01090501-,,,res_01090501-,res_01062800-res_01090501-,,res_01090501-,res_01090501-,res_01090501-,res_01090501-,res_01062800-,,,,res_01090501-,res_01062800-res_01090501-,res_01090501-,res_01090501-,res_01090501-,res_01090501-,res_01090501-,res_01090501-,,,res_01090501-,,res_01090501-,,,res_01090501-,res_01090501-,,res_01090501-,res_01090501-,res_01090501-,,
3157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01092100-,,,,,,,,,,,,,,,,,,res_01092100-,,,,,,,,,,
1292,,,,,,,,res_01007905-,res_01007905-,,,,,,,res_01007905-,,,,,,,,,,,,,,,,,,res_01007905-,,,,res_01007905-,,,,,,,,,,,,,,,,,,,,res_01007905-,,,,,,res_01007905-,,,,,,,,res_01007905-,,,res_01007905-,,res_01007905-,,
1013,,,,,,,,,,,,,,,,,res_01007903-,,,,,,,,,,,,,,,,,,,,,res_01007903-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01007903-,,
4089,,,,,,,,,,,,,,,,,res_01002701-,,,,,,,,,,,,,,,,,res_01002701-,,,,res_01002701-,,,,,,,,,,,,,res_01002701-,,,,,,,,,,,,,,,,,,res_01002701-,,,,,,,,,,
4185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01063300-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01063300-,,,,,,,,,,
103072,,,,,,,,res_01000502-,res_01000502-,,,,,,,,res_01000502-,,,,,,,,,,,,,,,,,,,res_01000502-,,res_01000502-,,,,,res_01000502-,,,res_01000502-,,,res_01000502-,,,res_01000502-,,,,,res_01000502-,res_01000502-,res_01000502-,res_01000502-,res_01000502-,,,res_01000502-,,,,,,,,res_01000502-,,,res_01000502-,,res_01000502-,,
103028,,,,,,,,res_01000501-,res_01000501-,,,,,res_01000501-,,,res_01000501-,,,,,,,,,,,,,,,,,,,res_01000501-,,res_01000501-,,,,,res_01000501-,,,,,,res_01000501-,,,,res_01000501-,,,,res_01000501-,res_01000501-,res_01000501-,res_01000501-,,res_01000501-,,,,,,,res_01000501-,,,res_01000501-,,,res_01000501-,,res_01000501-,,
1012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01064800-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01064800-,,,,,,,,,,
3008,,,,,,,,,res_01000602-,,,,,,,,,,,,,,,,,,,,,,,,,res_01063000-,,,,res_01063000-res_01000602-,,,,,,,,,,,,,,,res_01000602-,,,,,res_01000602-,res_01000602-,,,res_01000602-,,,,,,,res_01000602-,,,res_01000602-,,,,,res_01000602-,,
1128,,,,,,,,res_01001903-,,,,,,,,res_01001903-,res_01001903-,,,,,,,,,,,,,,,,,res_01062200-res_01001903-,,,,res_01001903-,,,,,,,,,,,res_01001903-,,,,,,,,,res_01001903-,,res_01001903-,,,,,,,,,res_01062200-res_01001903-,,,,,,res_01001903-,,res_01001903-,,
4028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01064700-,,,,,,,,,,
1078,,,,,,,,res_01000401-,res_01000401-,,,,,,,,res_01000401-,,,,,,,,,,,,,,,,,,res_01000401-,,,res_01000401-,,,,,res_01000401-,,,,,,res_01000401-,,,res_01000401-,,,,,,res_01000401-,res_01000401-,,res_01000401-,,,,,,,,res_01000401-,,,res_01000401-,,,res_01000401-,,,,
1189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01064600-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01062300-res_01064600-,,,,,,,,,,
1156,,,,,,,,res_01000402-,res_01000402-,,,,,,,,res_01000402-,,,,,,,,,,,,,,,,,,,,,res_01000402-,,,,,,,,res_01000402-,,,,,,res_01000402-,,,,,,res_01000402-,res_01000402-,res_01000402-,res_01000402-,,,res_01000402-,,,,,,,,res_01000402-,res_01000402-,,res_01000402-,,,,
2079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01065700-,,,,,,,,,,
4040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01002702-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01002702-,,,,,,,,,,
103015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01062900-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01062900-,,,,,,,,,,
6003,,,,,,res_01064300-res_01090701-,,res_01064300-res_01090701-,res_01064300-res_01090701-res_01064000-,res_01090701-,res_01090702-,res_01090701-,res_01090701-,res_01090701-,,res_01090701-,res_01090702-res_01064000-,,,,,,,res_01090701-,,,,res_01090701-,res_01090701-,,,,,res_01090701-res_01064000-,res_01090701-,res_01090701-,,res_01064300-res_01090701-res_01090702-res_01064000-,,res_01090701-,,,res_01090701-,,,,res_01090701-res_01090702-,,res_01090701-res_01064000-,res_01090702-res_01090701-,res_01090703-res_01064000-,res_01090702-,res_01090701-res_01064300-,,,,res_01090701-,res_01064300-res_01090702-res_01090701-res_01064000-,res_01090701-res_01090702-,res_01090701-res_01090702-,res_01090702-,res_01090701-res_01090702-,res_01090701-,res_01090701-,,,,,res_01090703-res_01064000-,,res_01090701-,res_01090701-res_01090702-,res_01090702-,,res_01090701-,res_01090703-,res_01064300-res_01090701-,res_01090702-,
1191,,,,,,,,res_01003001-,res_01003001-,,,,,,,,res_01003001-,,,,,,,,,,,,res_01003001-,,,,,,,,,res_01003001-,,,,,res_01003001-,,,res_01003001-,,,res_01003001-,,,res_01003001-,res_01003001-,,,,res_01003001-,res_01003001-,res_01003001-,res_01003001-,res_01003001-,,,res_01003001-,,,,,,,,res_01003001-,,,res_01003001-,,res_01003001-,,
1051,,,,,,,,,res_01088200-,,,,,,,res_01088200-,res_01088200-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01088200-,,res_01088200-,,,,,,,,,,,,,res_01088200-,,,,,,,
1272,res_01090101-res_01090302-,,,,,res_01061100-res_01090101-res_01090800-,res_01090302-,res_01001100-res_01000300-res_01061100-res_01090201-res_01090101-res_01000700-res_01065500-res_01090800-res_01090302-res_01090203-,res_01001100-res_01000300-res_01061200-res_01061100-res_01090201-res_01090101-res_01000700-res_01065500-res_01089200-res_01090800-res_01089700-res_01001200-res_01061000-,res_01090101-,res_01090302-,res_01000300-res_01090201-res_01090102-res_01090800-res_01001200-res_01090101-,res_01090101-res_01090901-,res_01001100-res_01090101-res_01065500-res_01090800-,,res_01001100-res_01000300-res_01090104-res_01001000-res_01000700-res_01089700-,res_01001100-res_01061200-res_01089200-res_01090302-res_01065300-res_01090201-,res_01090102-,res_01090101-,,,,,res_01090101-res_01090800-res_01090302-res_01000300-,,,,res_01000300-res_01090101-res_01089200-res_01090800-res_01090302-,res_01001100-res_01000300-res_01090101-res_01000700-,res_01090201-,res_01090302-,res_01001100-,,res_01090800-res_01089700-,res_01090101-res_01090800-res_01090302-res_01001200-res_01090201-,res_01001300-res_01090302-,res_01090201-,res_01001100-res_01000300-res_01061200-res_01061100-res_01090101-res_01090102-res_01000700-res_01089200-res_01090800-res_01089700-res_01001200-res_01061000-res_01065500-,,res_01090800-,,,res_01001100-res_01090201-res_01090101-res_01000700-res_01090800-res_01090102-,res_01090101-res_01090302-,res_01090302-,res_01000300-res_01090800-res_01090302-res_01090301-res_01090907-,res_01001100-res_01061100-res_01090201-res_01090101-res_01090102-,res_01090302-,res_01001100-res_01000300-res_01061200-res_01090101-res_01000700-res_01090800-res_01001200-,res_01090302-,res_01089000-res_01090201-res_01090800-,res_01090301-res_01090800-res_01000700-,res_01000300-res_01061200-res_01061100-res_01001000-res_01065500-res_01089200-res_01090800-res_01001200-res_01089700-,res_01000300-res_01090101-res_01090800-,,res_01090302-,res_01001100-res_01000300-res_01090101-res_01090301-res_01000700-res_01089200-res_01090800-res_01089700-res_01001200-res_01061000-,res_01001100-res_01000300-res_01061200-res_01061100-res_01090203-res_01090201-res_01090101-res_01000700-res_01065500-res_01089200-res_01090800-res_01090302-res_01089700-res_01001200-res_01061000-,res_01000300-res_01061200-res_01090301-res_01000700-res_01090800-res_01089700-res_01001200-res_01061000-,res_01001100-res_01000300-res_01061200-res_01090101-res_01000700-res_01065500-res_01089200-res_01090800-res_01090302-res_01061000-res_01089700-res_01090102-res_01090901-,res_01000300-res_01000700-res_01090302-res_01090800-,res_01090201-res_01090101-res_01090301-res_01089200-res_01090302-res_01001100-res_01000300-res_01090203-res_01000700-res_01001200-,res_01090101-res_01090800-res_01090302-,res_01001100-res_01061300-res_01000300-res_01090101-res_01000700-res_01090800-,,,res_01090101-,,res_01061200-res_01089300-res_01061100-res_01090203-res_01089800-res_01090800-res_01089700-res_01001200-res_01000300-res_01089000-res_01090201-res_01089200-,,res_01090101-res_01090800-,res_01001100-res_01000300-res_01090201-res_01090203-res_01090101-res_01000700-res_01090800-res_01090302-res_01090301-res_01090907-,res_01000300-res_01090800-res_01090302-res_01090301-,,res_01001100-res_01000300-res_01090101-res_01000700-res_01090800-,res_01090201-res_01090904-,res_01001100-res_01000300-res_01061200-res_01061100-res_01090203-res_01090101-res_01000700-res_01065500-res_01089200-res_01090800-res_01089700-res_01061000-res_01090901-,res_01090302-,res_01090201-res_01090302-
2016,,,,,,,,res_01000902-,res_01000902-,,,,,,,,res_01000902-,,,,,,,,,,,,,,,,,,,,,res_01000902-,,,,,,,,,,,,,,res_01000902-,,,,,res_01000902-,res_01000902-,res_01000902-,res_01000902-,res_01000902-,,,,,,,,,,,res_01000902-,,,res_01000902-,,res_01000902-,,res_01000902-
96004,,,,,,,,res_01008500-res_01065600-,res_01008500-res_01065600-,,,,,res_01008500-,,,,res_01008500-,,,,,,,,,,res_01008500-,,,,,,res_01008500-res_01065600-,,res_01008500-,,res_01008500-res_01065600-,,,,,res_01008500-,,,,,,res_01008500-,,,,res_01008500-,,,,res_01008500-,res_01008500-res_01065600-,res_01008500-,res_01008500-,res_01008500-,res_01008500-,res_01008500-,res_01008500-,,,,,res_01008500-res_01065600-,,,res_01008500-,res_01008500-,,res_01008500-,,res_01008500-res_01065600-,,res_01008500-
1115,,,,,,,,res_01007902-,,,,,,,,,,,,,,,,,,,,,,,,,,res_01007902-,,,,res_01007902-,,,,,,,,,,,,,,,,,,,,res_01007902-,res_01007902-,,,,,,,,,,,,,,,,res_01007902-,,res_01007902-,,
1198,,,,,,,,,,,,,,,,res_01003003-,,,,,,,,,,,,,res_01003003-,,,,,res_01003003-,,,,res_01003003-,,,,,,,,,,,,,,,,,,,res_01003003-,,,,,,,,,,,,res_01003003-,,,,,,,,,,
4025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01063400-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01061400-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01061400-,,,,,res_01061400-,,,,,,,,,,
4029,,,,,,,,res_01012002-,res_01012002-res_01063200-,,,,,res_01063200-,,,res_01063200-,,,,,,,,,,,,,,,,,res_01063100-res_01012002-res_01063200-,,,,res_01012002-res_01063200-,,,,,res_01012002-,,,,,,res_01012002-,,,,res_01063200-,,,,res_01012002-,res_01012002-res_01063200-,res_01012002-,res_01063200-,res_01012002-,res_01012002-,,res_01063100-,,,,,res_01063100-res_01063200-res_01012002-,,,res_01012002-,,,res_01012002-,,res_01063200-res_01012002-,,
2158,,,,,,,,res_01000901-,res_01062600-res_01000901-,,,,,,,res_01000901-,res_01000901-,res_01000901-,,,,,,,,,,,,,,,,res_01000901-,,res_01000901-,,res_01062600-res_01000901-,,,,,res_01000901-,,,res_01000901-,,,res_01000901-,,,res_01000901-,res_01062600-res_01000901-,,,,res_01000901-,res_01062600-res_01000901-,res_01062600-res_01000901-,res_01000901-,res_01000901-,res_01000901-,res_01000901-,res_01000901-,,,,,res_01062600-res_01000901-,,res_01000901-,res_01000901-,,,res_01000901-,,res_01062600-res_01000901-,,
103049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01092000-,,,,,,,,,,,res_01092000-,,,,,,,,,,,,res_01092000-,,,,,,,,res_01092000-,,,,,,,,,,
1082,,,,,,,,res_01001700-,res_01001700-,,,,,,,,res_01001700-,,,,,,,,,,,,,,,,,,,,,res_01001700-,,,,,res_01001700-,,,res_01001700-,,,res_01001700-,,,res_01001700-,,,,,res_01001700-,res_01001700-,res_01001700-,res_01001700-,res_01001700-,,,res_01001700-,,,,,,,,res_01001700-,,,res_01001700-,,res_01001700-,,
3024,,,,,,,,res_01000601-,res_01000601-,,,,,,,res_01000601-,,,,,,,,,,,,,,,,,,,,,,res_01000601-,,,,,res_01000601-,,,res_01000601-,,,res_01000601-,,,,res_01000601-,,,,res_01000601-,res_01000601-,res_01000601-,,res_01000601-,res_01000601-,,res_01000601-,,,,,,,,res_01000601-,res_01000601-,,res_01000601-,,res_01000601-,,
4196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01063500-,,,,,,,,,,
1164,,,,,,,,,,,,,,,,,res_01000404-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1171,,,,,,,,res_01090400-,res_01090400-,,,,res_01090400-,,,res_01090400-,res_01090400-,,,,,,,,,,,res_01090400-,res_01090400-,,,,,res_01090400-,,,,res_01090400-,,,,,,,,,,,res_01090400-,,res_01090400-,,res_01090400-,res_01090400-,,,res_01090400-,res_01090400-,res_01090400-,res_01090400-,,res_01090400-,res_01090400-,res_01090400-,,,,,res_01090400-,,,res_01090400-,,,res_01090400-,,res_01090400-,,
